from_stop_id,to_stop_id,transfer_type,min_transfer_time
48151,48139,2,60
48151,48138,2,60
48138,48121,2,60
48138,48098,2,60
48138,48097,2,60
48138,48096,2,60
48138,48089,2,60
48138,48088,2,60
48138,48087,2,60
48137,2157,2,120
48137,2156,2,120
48137,12105,2,120
48137,48136,2,60
48136,2157,2,120
48136,2156,2,120
48136,12105,2,120
46121,46035,2,120
46120,46035,2,120
46036,46035,2,120
46034,46033,2,180
46030,41975,2,180
46030,41974,2,180
46030,31663,2,180
46030,11751,2,180
46030,11750,2,180
46024,45884,2,360
45884,45883,2,60
45884,45848,2,60
45884,44038,2,180
45884,39054,2,360
45884,35834,2,360
45884,35659,2,60
45884,34350,2,360
45884,32503,2,360
45884,32502,2,360
45884,2230,2,360
45884,2226,2,360
46025,45883,2,360
46024,45883,2,180
45883,45848,2,60
45883,44038,2,180
45883,39054,2,240
45883,35834,2,240
45883,35659,2,60
45883,34350,2,240
45883,32503,2,240
45883,32502,2,240
45883,32121,2,360
45883,32120,2,360
45883,2230,2,240
45883,2226,2,240
45870,45869,2,60
45864,45863,2,60
45862,45861,2,60
46024,45848,2,360
45848,44038,2,180
45848,39054,2,360
45848,35834,2,360
45848,35659,2,60
45848,34350,2,360
45848,32503,2,360
45848,32502,2,360
45848,2230,2,360
45848,2226,2,360
45862,45822,2,180
45861,45822,2,180
45822,1889,2,60
45804,30183,2,180
45271,45270,2,60
45271,32962,2,180
45271,32157,2,60
45271,32156,2,60
45271,30190,2,180
45271,30189,2,180
45271,1095,2,180
45271,1089,2,180
45271,1087,2,180
45270,32962,2,180
45270,32157,2,60
45270,30190,2,180
45270,30189,2,180
45270,1095,2,180
45270,1089,2,180
45270,1087,2,180
45774,45266,2,180
45773,45266,2,180
45769,45266,2,180
45768,45266,2,180
45767,45266,2,180
45266,45265,2,60
45774,45265,2,180
45773,45265,2,180
45769,45265,2,180
45768,45265,2,180
45767,45265,2,180
45263,45262,2,60
45263,11276,2,180
45263,11275,2,180
45262,11276,2,180
45262,11275,2,180
45766,45261,2,180
45764,45261,2,180
45261,45260,2,60
45766,45260,2,180
45764,45260,2,180
44978,32173,2,180
44978,32172,2,180
44598,30201,2,180
44598,30103,2,180
46025,44038,2,180
46024,44038,2,180
44038,35659,2,180
44038,32121,2,180
44038,32120,2,180
39381,39380,2,60
40016,39380,2,180
39898,39379,2,180
39379,39378,2,60
39379,3466,2,180
39898,39378,2,180
39378,3466,2,180
40014,39377,2,180
39895,39377,2,180
39894,39377,2,180
39377,39376,2,60
40014,39376,2,180
39895,39376,2,180
39894,39376,2,180
46025,39054,2,180
46024,39054,2,180
39054,35659,2,240
39054,32121,2,180
39054,32120,2,180
644,39014,2,180
643,39014,2,180
45862,38834,2,180
45861,38834,2,180
38834,1889,2,60
38299,30185,2,180
37445,30445,2,180
45862,37408,2,180
45861,37408,2,180
37408,1889,2,60
37399,30206,2,60
37399,30205,2,180
37301,30447,2,180
37295,30447,2,180
37275,30447,2,180
37195,32153,2,180
37195,32152,2,180
37194,32153,2,180
37194,32152,2,180
36514,32153,2,180
36514,32152,2,180
37274,36394,2,180
37216,36394,2,180
37170,36394,2,180
37169,36394,2,180
46025,35834,2,180
46024,35834,2,180
35834,35659,2,240
35834,32121,2,240
35834,32120,2,360
46422,45271,2,180
46422,45270,2,180
46422,32157,2,180
46422,32156,2,180
46422,30190,2,180
46422,30189,2,180
46402,46401,2,60
46310,46160,2,180
46310,46159,2,180
46310,46032,2,120
46310,46031,2,120
46270,30448,2,180
46270,30447,2,180
46269,30448,2,180
46269,30447,2,180
46255,46058,2,120
46255,42737,2,120
46206,39998,2,120
46206,36115,2,180
46206,36114,2,180
46206,35676,2,60
46191,32121,2,180
36115,35676,2,180
36114,35676,2,180
35675,35674,2,60
36095,35673,2,180
36094,35673,2,180
35673,35672,2,60
36095,35672,2,180
36094,35672,2,180
44418,35671,2,180
35671,35670,2,60
35671,2743,2,180
35671,2742,2,180
35671,10490,2,180
44418,35670,2,180
35670,2743,2,180
35670,2742,2,180
35670,10490,2,180
39996,35669,2,120
37274,35669,2,120
37216,35669,2,120
